controller,mode,episodes,initial_capture_count,success_count,success_percent,genuine_swingup_count,unsafe_count,capture_count,mean_capture_time_s,mean_handover_time_s,mean_capture_to_handover_s,mean_first_balance_time_s,mean_final_balance_start_time_s,mean_successful_finish_time_s,mean_supervisor_switches,mean_lqr_fraction,mean_swingup_current_rms_A,mean_swingup_abs_current_A,mean_swingup_saturation_fraction,mean_swingup_applied_current_change_rms_A,mean_swingup_applied_current_slew_rms_A_s,maximum_swingup_applied_current_slew_A_s,mean_swingup_applied_current_total_variation_A,mean_swingup_current_change_rms_A,p95_swingup_current_change_rms_A,maximum_swingup_current_change_rms_A,mean_swingup_current_slew_rms_A_s,maximum_swingup_current_slew_A_s,mean_swingup_current_total_variation_A,p95_swingup_current_total_variation_A,maximum_swingup_current_total_variation_A,mean_swingup_current_second_difference_rms_A,mean_swingup_current_reversals,mean_swingup_high_frequency_power_fraction,mean_handover_current_jump_A,worst_abs_omega1_rad_s,worst_abs_omega2_rad_s,maximum_current_A,mean_arm_excursion_rad,p95_arm_excursion_rad,maximum_arm_excursion_rad,mean_omega1_rms_rad_s,p95_omega1_rms_rad_s,maximum_omega1_rms_rad_s,mean_omega2_rms_rad_s,p95_omega2_rms_rad_s,maximum_omega2_rms_rad_s,mean_post_capture_arm_excursion_rad,p95_post_capture_arm_excursion_rad,maximum_post_capture_arm_excursion_rad,mean_post_capture_omega1_rms_rad_s,p95_post_capture_omega1_rms_rad_s,maximum_post_capture_omega1_rms_rad_s,mean_final_arm_error_rms_rad,p95_final_arm_error_rms_rad,maximum_final_arm_error_rms_rad,mean_final_omega1_rms_rad_s,p95_final_omega1_rms_rad_s,maximum_final_omega1_rms_rad_s,worst_final_abs_omega1_rad_s,mean_minimum_capture_metric,best_minimum_capture_metric,mean_minimum_abs_upright_error_deg,mean_current_filter_cutoff_hz,minimum_current_filter_cutoff_hz,maximum_current_filter_cutoff_hz,mean_action_dead_time_samples,maximum_action_dead_time_samples
sac,training_nominal,100,5,100,100.0,95,0,100,0.73443,,,1.6329100000000005,1.64129,2.6412899999999997,0.0,0.0,0.08789553264643489,0.028191177067235406,0.00897,0.006816794568482535,6.816794568482536,255.95407924576557,5.732355597798549,0.0301480295227102,0.04062407636487661,0.11863717199021048,6.0296059045420405,140.1603639125824,5.945807303190231,9.304977887868876,25.504022479057312,0.02943686827983108,12.25,0.06718000940524646,,20.622494510997498,25.556549124898787,0.49999994039178586,1.283145618167973,2.052920050035462,2.202631898708135,1.5161751998960664,2.483375689997506,2.750751771920913,3.891483862629953,5.162213952742379,5.703497120734305,0.6877068236671906,0.9631493394106677,1.5746553393607954,0.4048511508704234,0.5120737983788864,0.7861846539695129,0.07372445083679936,0.07734246786301152,0.07888622719358017,0.007215136693250536,0.01791433134774892,0.02906658678601314,0.051963249501679194,0.0008151063670420435,5.81439436140248e-05,1.719275518987548e-05,80.0,80.0,80.0,0.0,0
sac,training_randomized,100,1,100,100.0,99,0,100,0.66478,,,1.5301600000000002,1.5461299999999998,2.54613,0.0,0.0,0.08550424749263305,0.02666696104399645,0.009703999999999999,0.006956816122273092,6.956816122273093,286.9178469374812,5.60881138936173,0.030947929762753765,0.04302332736276256,0.1520233277560862,6.189585952550755,157.08492994308472,5.849022893309593,10.019916659593582,35.735372722148895,0.0313891197527846,12.32,0.06933196499772219,,21.9033983204806,26.093905130823757,0.4999999999999997,1.330206380291629,2.1068028870174627,3.04010235879344,1.462227544626726,2.358737538947689,3.1257626136720194,3.7923372702010947,5.169586967211827,5.66007453155025,0.707289326946679,1.2560481635230618,1.854694509048401,0.42876310382041993,0.8112979445031714,1.123170061737427,0.07387083657697652,0.07709546850007239,0.07967384938771287,0.0059061701747567304,0.014503900453821342,0.024869925209582484,0.0478773910804872,0.0008102281648800543,7.73628185480583e-05,1.1113023666225792e-05,80.0,80.0,80.0,0.0,0
sac,downward_rest_randomized,100,0,100,100.0,100,0,100,1.06039,,,2.00332,2.01239,3.0123900000000003,0.0,0.0,0.11514354462478686,0.04157240961754214,0.013987999999999995,0.008674820546705934,8.674820546705936,257.73542507942756,8.415139613071064,0.03863340515833432,0.06526285447290121,0.0717784474401704,7.726681031666865,130.47918677330017,8.766895369291305,13.291429737210272,15.128701984882355,0.04444292937505421,17.43,0.04022099772285039,,21.164254433016172,25.249638253383065,0.4999998022544585,1.390256740391366,1.7862454603141584,1.9168603935966142,2.2227797231409934,2.722479646972249,2.830003169276269,4.680995587710901,5.444429849903339,5.820816179518504,0.7164647909994212,0.9942886098938609,1.3732001231242605,0.42863418617839505,0.5192562899085467,0.6464842299591351,0.07439416808380382,0.07900055007224019,0.082536338890535,0.011434502203379535,0.022066005818677792,0.029962944971870825,0.05255033999872176,0.0010114136657380537,0.00012042990161512922,3.2335088186089054e-05,80.0,80.0,80.0,0.0,0
hybrid,training_nominal,100,5,100,100.0,95,0,100,0.73443,0.9383499999999999,0.20392000000000002,1.00178,1.0055,2.0055,1.0,0.8123299999999998,0.2025362992807775,0.13824169618062973,0.04342611674908531,0.016062115219199858,16.06211521919986,255.95407924576557,5.704351453774723,0.07102470226636758,0.09314741475057994,0.26661719443517184,14.204940453273512,140.1603639125824,5.9177131953835485,9.262956836819646,25.492049783468246,0.0685069463757425,9.05,0.07080344267134693,0.03867346512301115,20.622494510997498,25.556549124898787,0.49999994039178586,1.223501232232502,2.0412626540808576,2.184444748285883,1.4942389231466224,2.4614482905906487,2.746225007512091,3.8922480499965855,5.1623334694485825,5.703632825535994,0.3312850216553718,0.6575158001642587,1.4358141939322935,0.3089740549521841,0.4568529289315694,0.7868307818095349,9.25458813293881e-08,3.5989601500548685e-07,1.696549038274392e-06,6.664297091195255e-07,2.5258951147069994e-06,9.197167168217173e-06,2.4371897878670517e-05,9.549985981370455e-09,3.669087880536313e-12,7.644445365791347e-10,80.0,80.0,80.0,0.0,0
hybrid,training_randomized,100,1,100,100.0,99,0,100,0.66478,0.9268100000000001,0.26203,0.99741,1.00022,2.0002199999999997,1.0,0.8146380000000001,0.19965269098807792,0.1349477698158637,0.04925116563052779,0.016574929257204093,16.574929257204086,286.9178469374812,5.582908704270834,0.07371493368773191,0.10895584966427331,0.34694415393097144,14.74298673754638,157.08492994308472,5.823065086603164,9.990504474937914,35.71936094760895,0.07385062311610911,8.94,0.07321216105616483,0.048721648044899334,21.9033983204806,26.093905130823757,0.4999999999999997,1.267145479784129,2.0913681271179057,3.04010235879344,1.4414782206219747,2.342840089788914,3.123456680179559,3.7931133930375536,5.169708586245943,5.660208275622676,0.4145919759303929,1.1490563777300689,1.7527813214413448,0.35030927752873203,0.8122117756171613,1.1234808686083935,2.228327493588781e-07,1.0583772265495127e-06,5.2763272920752785e-06,1.0257124848590686e-06,6.645002503178827e-06,1.4790055140154841e-05,2.7042538236690734e-05,1.463380871068706e-08,2.9666324486220167e-11,1.8099773359085322e-09,80.0,80.0,80.0,0.0,0
hybrid,downward_rest_randomized,100,0,100,100.0,100,0,100,1.06039,1.2342800000000003,0.17389000000000002,1.2973500000000002,1.29793,2.2979299999999996,1.0,0.7531439999999998,0.2338036693707187,0.1643838842549102,0.05903516573242975,0.01761911594207996,17.61911594207996,257.73542507942756,8.384940901666528,0.07844124298766159,0.12767232234465473,0.17254238396553612,15.688248597532315,130.47918677330017,8.736543374359607,13.280404241383074,15.11258378624916,0.09085530161093294,15.1,0.040727108313842984,0.03245590023638964,21.164254433016172,25.249638253383065,0.4999998022544585,1.3879911408203003,1.7862454603141584,1.9011613069203412,2.208833959442751,2.7065402771479903,2.815464612909545,4.681165613533804,5.444534781870187,5.820944930302768,0.3046317981733074,0.5735862690603007,0.9557865262460651,0.3154390455223751,0.4669095079108737,0.5741076648091225,1.8841877151210165e-07,7.332303131613376e-07,3.9750174929634114e-06,1.3756720992803208e-06,4.104463329949961e-06,1.4516269173991627e-05,2.7061626385070685e-05,1.9573762005925526e-08,5.5194073720245286e-11,2.8651001437134786e-09,80.0,80.0,80.0,0.0,0
