controller,mode,episodes,initial_capture_count,success_count,success_percent,genuine_swingup_count,unsafe_count,capture_count,mean_capture_time_s,mean_handover_time_s,mean_capture_to_handover_s,mean_first_balance_time_s,mean_final_balance_start_time_s,mean_successful_finish_time_s,mean_supervisor_switches,mean_lqr_fraction,mean_swingup_current_rms_A,mean_swingup_abs_current_A,mean_swingup_saturation_fraction,mean_swingup_applied_current_change_rms_A,mean_swingup_applied_current_slew_rms_A_s,maximum_swingup_applied_current_slew_A_s,mean_swingup_applied_current_total_variation_A,mean_swingup_current_change_rms_A,p95_swingup_current_change_rms_A,maximum_swingup_current_change_rms_A,mean_swingup_current_slew_rms_A_s,maximum_swingup_current_slew_A_s,mean_swingup_current_total_variation_A,p95_swingup_current_total_variation_A,maximum_swingup_current_total_variation_A,mean_swingup_current_second_difference_rms_A,mean_swingup_current_reversals,mean_swingup_high_frequency_power_fraction,mean_handover_current_jump_A,worst_abs_omega1_rad_s,worst_abs_omega2_rad_s,maximum_current_A,mean_arm_excursion_rad,p95_arm_excursion_rad,maximum_arm_excursion_rad,mean_omega1_rms_rad_s,p95_omega1_rms_rad_s,maximum_omega1_rms_rad_s,mean_omega2_rms_rad_s,p95_omega2_rms_rad_s,maximum_omega2_rms_rad_s,mean_post_capture_arm_excursion_rad,p95_post_capture_arm_excursion_rad,maximum_post_capture_arm_excursion_rad,mean_post_capture_omega1_rms_rad_s,p95_post_capture_omega1_rms_rad_s,maximum_post_capture_omega1_rms_rad_s,mean_final_arm_error_rms_rad,p95_final_arm_error_rms_rad,maximum_final_arm_error_rms_rad,mean_final_omega1_rms_rad_s,p95_final_omega1_rms_rad_s,maximum_final_omega1_rms_rad_s,worst_final_abs_omega1_rad_s,mean_minimum_capture_metric,best_minimum_capture_metric,mean_minimum_abs_upright_error_deg,mean_current_filter_cutoff_hz,minimum_current_filter_cutoff_hz,maximum_current_filter_cutoff_hz,mean_action_dead_time_samples,maximum_action_dead_time_samples
hybrid,training_nominal,100,3,100,100.0,97,0,100,0.7972999999999999,1.01854,0.22124,1.08331,1.0872,2.0871999999999997,1.0,0.7962919999999998,0.21006455972145865,0.14384132035736522,0.051397086294175436,0.017868075937344317,17.86807593734432,370.6780289641227,6.211888613598078,0.0716842778035044,0.08889449881466417,0.20601267992483502,14.336855560700876,166.0632610321045,6.331894546151161,10.149169482290745,21.134500920772552,0.07097801571047524,9.68,0.06004357137316471,0.03871005636886606,21.60570622820684,26.044946000994702,0.4999999998523138,1.3559019218418291,2.0304905832146942,2.4801603257272435,1.6095335660210233,2.4761763584921037,2.93495141621358,4.182725825432709,5.340487181455807,5.660377528662668,0.35729661036167365,0.7024246033490735,1.93418552913855,0.3270862098151535,0.4842118691437188,0.9747590243936787,1.3893277109550104e-07,5.891962300922379e-07,3.1503723868322937e-06,9.275842685879379e-07,3.990423248422813e-06,1.3258803367746797e-05,2.6974351677810577e-05,1.2808617201140508e-08,7.52960659459619e-12,1.300677913653899e-09,100.0,100.0,100.0,0.0,0
hybrid,training_randomized,100,0,100,100.0,100,0,100,0.7352000000000001,1.00744,0.27224000000000004,1.0651799999999998,1.07459,2.07459,1.0,0.7985120000000001,0.20913279266223353,0.14386123525553404,0.06323141969296381,0.015451149568753009,15.45114956875301,362.4302729473732,6.023002393065974,0.07098257834700511,0.09282178520098691,0.19046234690415903,14.196515669401021,155.85469007492065,6.283955519199371,10.707112750411033,15.38660877943039,0.06423735731046507,11.03,0.06197001474328458,0.05524055745239093,22.121386831835753,27.004657231796877,0.49999999999986766,1.35178734747536,2.1319976902799604,2.5600499171948674,1.5286635051660995,2.4768002478951905,2.8679579101207757,3.9596641948310225,5.2747250098282,5.881649626431962,0.39666251944478753,1.1385991446878547,1.5910274134011892,0.33126416469719255,0.6117036789107804,1.1592136326157652,1.5915308693768058e-07,6.439099826248916e-07,3.1467593540316975e-06,9.827062771409125e-07,4.804559256237779e-06,1.5250493978544624e-05,3.6506934089572366e-05,1.354867037813429e-08,1.6945995342837618e-11,1.6667862197052996e-09,73.11215181279849,50.069069655931145,99.89292786208885,0.45,1
hybrid,downward_rest_randomized,100,0,100,100.0,100,0,100,1.05317,1.25763,0.20446000000000006,1.3031500000000003,1.3104899999999997,2.3104899999999997,1.0,0.7484740000000001,0.23816940631154612,0.16819122132562572,0.07099919077523381,0.01592368058349372,15.92368058349372,281.51531321178555,8.17907541285674,0.07186307741388663,0.0902021458612325,0.11678408840765733,14.372615482777325,124.89616870880127,8.440587345063687,12.246036161482333,19.04429006576538,0.06413603077940419,14.17,0.03260681103833087,0.045358978830913624,21.421901981239657,25.85857073790661,0.49999980294269264,1.4528913949019495,1.8928785375848598,2.171232851540994,2.2113630765118724,2.738108012162047,2.963078425218995,4.632299585442448,5.5812866386409254,5.924566494187578,0.311107108022238,0.5727889990255446,1.301342744081461,0.30916143168176374,0.48368248801520075,0.7368118218911417,3.620102551846077e-07,1.4495983519446684e-06,5.515449491399117e-06,1.9949730733894327e-06,6.200227467551226e-06,2.754174973114439e-05,0.00011887441457108542,2.8087551740415387e-08,3.933710030034078e-11,4.07753878383985e-09,73.57962431438847,50.952922870312904,99.92185610402727,0.51,1
